bedroom,bathroom,size,address,city,zillow_days,views,price,ad_type,company,agent,link
1,1,900,100 W 57th St #11R New York NY 10019,New York,190,"41,236","215,000",For sale,Douglas Elliman,Phyllis Pei ,https://www.zillow.com/homedetails/100-W-57th-St-11R-New-York-NY-10019/2078461494_zpid/
1,1,900,100 W 57th St APT 5R New York NY 10019,New York,162,"8,479","185,000",For sale,Pergolotti Realty 917-415-6609,Joelle Pergolotti ,https://www.zillow.com/homedetails/100-W-57th-St-APT-5R-New-York-NY-10019/2078079062_zpid/
5,4,"2,268",14 W 184th St Bronx NY 10468,Bronx,23,"10,499","399,000",For sale,RE/MAX Distinguished Hms.&Prop 914-346-8255,Hermi Aquino ,https://www.zillow.com/homedetails/14-W-184th-St-Bronx-NY-10468/29786104_zpid/
2,3,"1,800",303 E 57th St APT 32B New York NY 10022,New York,46,"43,519","445,000",For sale,Brown Harris Stevens 212-381-3372,Elayne Reimer ,https://www.zillow.com/homedetails/303-E-57th-St-APT-32B-New-York-NY-10022/119912033_zpid/
4,6,"7,130",111 W 57th St PENTHOUSE 72 New York NY 10019,New York,148,"42,892","66,000,000",For sale,Douglas Elliman 212-203-5401,Amy Williamson ,https://www.zillow.com/homedetails/111-W-57th-St-PENTHOUSE-72-New-York-NY-10019/2077908081_zpid/
2,2,"1,250",420 E 51st St APT 3D New York NY 10022,New York,1043,"5,414","425,000",For sale,Corcoran 516-376-7111,Dan Sholomon ,https://www.zillow.com/homedetails/420-E-51st-St-APT-3D-New-York-NY-10022/123950252_zpid/
1,1,950,100 W 57th St APT 3G New York NY 10019,New York,78,"14,905","229,000",For sale,Pergolotti Realty 917-415-6609,Joelle Pergolotti ,https://www.zillow.com/homedetails/100-W-57th-St-APT-3G-New-York-NY-10019/2077882008_zpid/
4,4,"3,300",303 E 57th St APT 45G New York NY 10022,New York,198,"8,828","800,000",For sale,Compass 917-567-5167,Jonathan Tauzowicz ,https://www.zillow.com/homedetails/303-E-57th-St-APT-45G-New-York-NY-10022/2078579838_zpid/
1,1,900,100 W 57th St #19N New York NY 10019,New York,225,"12,204","219,000",For sale,Douglas Elliman 212-769-9838,Chris Connor ,https://www.zillow.com/homedetails/100-W-57th-St-19N-New-York-NY-10019/72519071_zpid/
--,1,600,100 W 57th St PENTHOUSE H New York NY 10019,New York,24,"8,585","121,000",For sale,Pergolotti Realty 917-415-6609,Joelle Pergolotti ,https://www.zillow.com/homedetails/100-W-57th-St-PENTHOUSE-H-New-York-NY-10019/306707670_zpid/
4,5,"6,234",157 W 57th St PENTHOUSE 87 New York NY 10019,New York,450,"9,869","44,000,000",For sale,Douglas Elliman 212-350-8059,Richard J Steinberg ,https://www.zillow.com/homedetails/157-W-57th-St-PENTHOUSE-87-New-York-NY-10019/122273268_zpid/
3,3,"1,674",4 W 21st St APT 14B New York NY 10010,New York,215,"7,446","1,750,000",For sale,Douglas Elliman 212-321-7111,Josh Rubin ,https://www.zillow.com/homedetails/4-W-21st-St-APT-14B-New-York-NY-10010/72538276_zpid/
4,2,"1,300",226 E 38th St Brooklyn NY 11203,Brooklyn,178,"13,250","595,000",For sale,Corcoran 347-608-7028,Kristy Salama ,https://www.zillow.com/homedetails/226-E-38th-St-Brooklyn-NY-11203/145591435_zpid/
3,1,850,526 W 158th St APT 62 New York NY 10032,New York,19,"5,776","150,000",For sale,ADCNY Realty Corp 917-659-6162,Bruno Ruiz-Castano ,https://www.zillow.com/homedetails/526-W-158th-St-APT-62-New-York-NY-10032/2090826016_zpid/
5,3,"1,975",5110 Beverley Rd Brooklyn NY 11203,Brooklyn,27,"8,946","949,000",For sale,Compass,Louis Belisario ,https://www.zillow.com/homedetails/5110-Beverley-Rd-Brooklyn-NY-11203/30655765_zpid/
6,8,"8,054",432 Park Ave #82 New York NY 10022,New York,179,"50,822","90,000,000",For sale,Douglas Elliman 212-352-6243,Ryan Stenta at Eklund|Gomes Team ,https://www.zillow.com/homedetails/432-Park-Ave-82-New-York-NY-10022/2078304565_zpid/
2,1,--,21-27 33rd St APT 5G Astoria NY 11105,Astoria,248,"4,284","299,000",For sale,Compass,Anya Perry Turcheck ,https://www.zillow.com/homedetails/21-27-33rd-St-APT-5G-Astoria-NY-11105/2080327122_zpid/
3,1,"1,090",303 W 122nd St #34 New York NY 10027,New York,39,"14,716","350,000",For sale,Esra Realty 917-727-3652,KL Hamm ,https://www.zillow.com/homedetails/303-W-122nd-St-34-New-York-NY-10027/244861078_zpid/
6,8,"14,825",8 E 62nd St New York NY 10065,New York,148,"22,761","65,000,000",For sale,Modlin Group 212-974-0740,Adam Modlin ,https://www.zillow.com/homedetails/8-E-62nd-St-New-York-NY-10065/31533267_zpid/
7,11,"13,000",12 E 63rd St New York NY 10065,New York,760,"34,559","65,000,000",For sale,Berkshire Hathaway HomeServices New York Properties 646-677-1038,Craig Dix ,https://www.zillow.com/homedetails/12-E-63rd-St-New-York-NY-10065/2099424678_zpid/
6,3,"2,500",2331 100th St Flushing NY 11369,Flushing,2,564,"1,378,000",For sale,Winzone Realty Inc 718-676-6611,Qun D Lin ,https://www.zillow.com/homedetails/2331-100th-St-Flushing-NY-11369/31968062_zpid/
4,5,"3,300",303 E 57th St APT 43G New York NY 10022,New York,396,"5,914","850,000",For sale,Brown Harris Stevens 212-381-3372,Elayne Reimer ,https://www.zillow.com/homedetails/303-E-57th-St-APT-43G-New-York-NY-10022/72525903_zpid/
1,1,--,2190 Brigham St APT 1H Brooklyn NY 11229,Brooklyn,9,"3,351","150,000",For sale,Douglas Elliman 718-780-8129,Leora Blumberg-Rubinstein ,https://www.zillow.com/homedetails/2190-Brigham-St-APT-1H-Brooklyn-NY-11229/79492790_zpid/
4,6,"6,240",157 W 57th St PENTHOUSE 86 New York NY 10019,New York,205,"9,119","39,800,000",For sale,Corcoran 212-836-1088,Carrie Chiang ,https://www.zillow.com/homedetails/157-W-57th-St-PENTHOUSE-86-New-York-NY-10019/122272198_zpid/
5,6,"7,381",20 W 53rd St New York NY 10019,New York,329,"23,465","39,950,000",For sale,Douglas Elliman 212-418-7486,Eva Penson ,https://www.zillow.com/homedetails/20-W-53rd-St-New-York-NY-10019/122272179_zpid/
